Funder: Organisation Name,Managed by: Organisation Name,Grant Programme:Code,Grant Programme:Title,Description,FY value,Start Date,End Date,Allocation method,Duration (Months),COFOG: Sector type,Authority Act: Authority Act Name
Department for Education,Department for Education,G2-SCH-2021-03-0217,Academies - Converter Academies Pre-Opening Grants,"Contribution towards the costs incurred by schools to support conversion to an academy e.g. legal, land transfer, software licence transfers, HR/TUPE advice etc.",9072553.55,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0218,Academies - Sponsored Academies Pre-Opening Grants,"To cover project development costs e.g. legal advice, finance and governance, marketing, project management, early appointment of key staff (e.g. principal designate) of a sponsored academy and to support school improvement e.g. leadership support, teaching.",5458752.81,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0221,Trust Capacity Fund,To help academy trusts develop their capacity to grow.,31213560.27,2019-04-01,2023-03-31,General Grant - Competed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0222,Opportunity North East,To level up and raise aspirations for children in the North East.,295799.42,2019-04-01,2023-03-31,General Grant - Mixed,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0225,Initial Teacher Training Financial Incentives,To support recruitment & retention of trainees employed as unqualified teachers to become qualified teachers in maintained schools in England.,144669598.30,2019-04-01,2023-03-31,General Grant - Criteria Based,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0228,In Harmony,Enhancing attainment in deprived areas through music.,208333.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0229,Museums And Schools,"To provide high-quality curriculum-linked activities for school children in 10 regional museum services, in partnership with National Museums.",1200000.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0230,Centre For Holocaust Education,To improve teachers' ability to teach about the history of the Holocaust by providing Continuing Professional Development (CPD) courses for teachers.,500000.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0237,National Youth Music Organisations,Opportunities for highly talented young people to play in national ensembles.,419410.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0239,National Youth Dance Company,To provide talented performers aged 16-19 with intensive training and performance opportunities.,200000.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0246,Music For Youth,To provide musical platforms for children and young people.,105000.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0247,Saturday Art & Design Clubs,To give young people aged 14-16 the opportunity to study art and design at their local art and design college or university for free.,130000.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0249,Teaching School Hubs,Grant-funded schools to deliver Initial Teacher Training/Early Career Framework/National Professional Qualifications as well as Appropriate Body services and other high-quality evidenced CPD to schools across the country.,20370309.29,2019-04-01,2025-03-31,General Grant - Competed,72,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0250,BFI Film Academy,Opportunities for talented 16-19 year olds to gain skills to work in the film industry.,1000000.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0252,Heritage Schools Programme,"To celebrate and commemorate our culture and history, by helping schools to make effective use of their local historic environment and bring the curriculum alive.",847520.00,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0254,Maths Project Development Grant (PDG),To cover the pre-opening revenue activities of new schools.,405000.00,2019-04-01,2023-03-31,General Grant - Criteria Based,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0255,Maths Preopening Outreach,To support the pre-opening outreach work of new schools.,160000.00,2019-04-01,2023-03-31,General Grant - Criteria Based,48,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0257,Childline and NSPCC Helpline grant,"To support the operation of ChildLine and the NSPCC Helpline. The key outcome for ChildLine is to increase the support for children through improved access to counselling services to keep them safe from harm. For the adult Helpline, the aim is to better protect children through increased advice and support for adults who have concerns about children.",2600000.00,2019-04-01,2025-03-31,General Grant - Uncompeted,72,General public services,Education Act 2002
Department for Education,Department for Education,G2-SCH-2021-03-0258,Local Authority Intervention & Improvement,"To improve LA's Children's Services through brokering effective, targeted support to those that are failing or at risk of failing in the future.",28826125.69,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Local Government Act 2003
Department for Education,Department for Education,G2-SCH-2021-03-0260,Adoption Support Fund,The adoption support fund (ASF) provides funds to local authorities (LAs) and regional adoption agencies (RAAs) to pay for essential therapeutic services for eligible adoptive and special guardianship order (SGO) families.,42214093.66,2019-04-01,2023-03-31,General Grant - Competed,48,General public services,Local Government Act 2003
Department for Education,Department for Education,G2-SCH-2021-03-0263,FE Workforce Development funding for Education and Training Foundation,"The Education and Training Foundation (ETF) shall use all reasonable endeavours to achieve the following objectives: attract and retain highly skilled and motivated teachers and industry professionals into Further Education (FE); enable dual professionalism to develop both teaching and industry skills; continuously improve FE teachers  - staff who develop both aspects of the dual professionalism throughout their careers (largely delivered through our ETF programme package €“ ITE reforms; Mentor Programme; Digital Platforms; Taking Teaching Further); proactively make links to employers to ensure that FE teaching is agile and able to respond to the needs of the changing economy (part-delivered through our ETF programme Taking Teaching Further); build the evidence base of what effective practice looks like in FE teaching, underpinned by high-quality evaluation that demonstrates impact of interventions.",3078356.43,2019-04-01,2023-03-31,General Grant - Uncompeted,48,Education,Education Act 2002
